iata_code,avg_temperature,avg_precipitation,avg_wind_speed
PDX,12.009041095890412,4.49386301369863,8.003287671232878
PHF,15.902465753424657,3.3597808219178087,16.18794520547945
PHL,13.23890410958904,2.679013698630137,11.72054794520548
PHX,22.63780821917808,0.9678082191780822,8.39890410958904
PIA,11.087945205479452,2.665698630136986,13.243835616438357
PIE,22.35808219178082,2.5345753424657533,17.185205479452055
PIH,9.011506849315069,1.3637534246575342,9.949041095890411
PIT,10.57972602739726,3.459424657534247,10.712876712328766
PLN,7.946301369863014,2.399753424657534,14.22958904109589
PNS,20.119452054794518,3.5534794520547943,11.308493150684933
PSC,13.716164383561642,0.9586575342465753,9.51041095890411
PSP,22.40986301369863,0.36583561643835627,7.252876712328767
PVD,11.22054794520548,3.7260273972602738,11.89013698630137
PWM,9.374794520547946,3.0643835616438357,11.07123287671233
RAP,8.59068493150685,1.4937260273972603,13.480547945205478
RDD,16.10958904109589,4.2105205479452055,7.0810958904109595
RDM,9.572054794520549,1.7948767123287668,7.9912328767123295
RDU,15.973424657534247,3.3306575342465754,10.267397260273974
RIC,15.292328767123289,2.997917808219178,10.363013698630137
RKS,5.798904109589042,0.8025205479452053,13.788493150684932
RNO,11.756438356164384,1.3023835616438357,6.865753424657533
ROA,13.416438356164383,2.6039726027397263,9.152602739726028
ROC,10.039178082191782,2.7506301369863015,12.636438356164383
ROW,15.868493150684932,1.219095890410959,13.1827397260274
RST,7.116986301369864,2.774246575342466,13.908219178082192
RSW,23.41780821917808,2.286054794520548,11.00164383561644
SAF,10.281917808219179,0.8632602739726029,10.59041095890411
SAN,17.38849315068493,0.8181643835616438,7.952602739726027
SAT,19.983835616438355,1.5992876712328767,12.278356164383563
SAV,19.366575342465755,3.376931506849315,10.100547945205479
MQT,5.927671232876712,2.543369863013699,12.135068493150689
SBA,18.50849315068493,1.1045753424657534,9.06958904109589
SBN,10.245479452054795,2.80027397260274,13.16027397260274
SBP,16.213424657534247,1.2384109589041095,10.477534246575344
SDF,13.726027397260275,2.742986301369863,9.94054794520548
SEA,10.675616438356165,4.002575342465754,8.618356164383561
SFO,14.806027397260273,1.611835616438356,8.456712328767123
SGF,13.413698630136986,2.7921095890410963,11.553972602739728
SGU,18.274794520547943,0.4884109589041096,7.173972602739726
SHV,19.124657534246577,2.325150684931507,10.537534246575342
SJC,16.05041095890411,1.9323561643835614,7.232876712328767
SJT,18.1,2.0517808219178084,16.840821917808217
SLC,10.532876712328768,1.6265479452054796,7.719999999999999
SMF,16.623287671232877,1.8879726027397261,8.794794520547946
SMX,15.55013698630137,1.2268493150684932,11.485479452054797
SNA,17.45397260273973,0.9420273972602741,7.033150684931506
SPI,12.235342465753426,2.3212876712328767,13.276986301369863
SPS,17.762465753424657,1.8314520547945206,15.878904109589042
SRQ,22.776438356164384,2.2764931506849315,11.446849315068494
STL,13.353698630136988,2.5961095890410957,11.70958904109589
SUN,6.091506849315068,1.4619726027397257,7.33890410958904
SWF,10.198082191780822,3.8833698630136992,9.810684931506849
SYR,9.133698630136987,3.5426301369863014,11.771506849315067
TEX,2.6109589041095895,2.346739726027397,7.703835616438356
TLH,19.749589041095888,3.3106849315068496,9.226301369863014
TOL,10.218630136986302,2.45613698630137,14.545479452054794
TPA,22.183013698630134,2.662876712328767,11.794794520547946
TRI,13.070136986301371,2.813260273972603,7.392328767123288
TUL,15.708493150684932,2.5216164383561646,12.859726027397258
TUS,19.884383561643837,0.9889315068493152,9.435890410958905
TVC,8.608767123287672,2.6031232876712327,13.960821917808222
TWF,10.230136986301373,1.0792602739726027,11.49150684931507
TXK,17.857260273972603,2.482082191780822,10.218904109589042
TYR,18.507671232876714,2.100082191780822,11.817808219178081
TYS,14.99013698630137,2.8916438356164385,7.956712328767122
SCE,9.378082191780821,3.077835616438356,10.12054794520548
UTM,17.470410958904107,2.7377808219178084,10.794794520547946
VLD,19.507671232876714,3.2490136986301366,9.703287671232877
VPS,20.188767123287672,3.361424657534246,12.263013698630138
XNA,14.192602739726025,2.6770136986301365,11.535068493150685
BET,0.28520547945205516,1.6320821917808217,16.355890410958903
BRW,-9.11972602739726,0.42323287671232884,19.51424657534247
CDV,4.051232876712329,7.708794520547945,12.41972602739726
ADK,4.820821917808219,2.9919178082191777,26.075342465753426
